word,spam_count,ham_count,total,spam_ratio
orderinq,57,0,57,1.0
opened,105,119,224,0.469
debt,331,2207,2538,0.13
richard,93,1164,1257,0.074
niles,0,69,69,0.0
cholesterol,141,1,142,0.993
mega,141,18,159,0.887
shopping,247,102,349,0.708
ecs,5,45,50,0.1
taablets,62,0,62,1.0
dieting,121,0,121,1.0
cline,0,75,75,0.0
postal,152,36,188,0.809
injuries,79,5,84,0.94
window,121,156,277,0.437
without,2213,916,3129,0.707
griebling,0,74,74,0.0
vcsc,135,0,135,1.0
reassure,7,85,92,0.076
keynote,6,77,83,0.072
diiigence,105,0,105,1.0
noise,23,51,74,0.311
profession,71,25,96,0.74
specification,15,35,50,0.3
speech,27,70,97,0.278
propose,45,135,180,0.25
periods,20,123,143,0.14
normal,724,354,1078,0.672
freight,20,76,96,0.208
mac,172,25,197,0.873
merge,10,57,67,0.149
kristin,5,284,289,0.017
withdraw,22,31,53,0.415
concentrate,24,37,61,0.393
charged,40,185,225,0.178
allan,15,68,83,0.181
supervisors,3,68,71,0.042
euros,226,63,289,0.782
pickering,8,104,112,0.071
bundle,146,3,149,0.98
industry,1540,1292,2832,0.544
cancer,199,48,247,0.806
ios,1,74,75,0.013
herba,61,0,61,1.0
eiements,105,0,105,1.0
minimize,21,67,88,0.239
requirement,27,194,221,0.122
hardware,160,96,256,0.625
reviewed,51,286,337,0.151
acceptance,552,179,731,0.755
procurement,21,66,87,0.241
feed,39,63,102,0.382
weekends,3,55,58,0.052
logic,18,123,141,0.128
contractors,80,64,144,0.556
architect,93,8,101,0.921
adequate,19,136,155,0.123
oliver,24,88,112,0.214
agreed,237,869,1106,0.214
rodriguez,13,206,219,0.059
theft,47,9,56,0.839
annual,288,548,836,0.344
barry,147,354,501,0.293
lending,46,113,159,0.289
inquiries,40,117,157,0.255
elements,158,68,226,0.699
pubiic,133,0,133,1.0
restate,1,60,61,0.016
nesbitt,6,74,80,0.075
alex,34,332,366,0.093
suddenly,58,65,123,0.472
bidder,5,49,54,0.093
ethink,0,53,53,0.0
specialized,50,49,99,0.505
sandeep,6,217,223,0.027
notch,15,87,102,0.147
optimism,11,72,83,0.133
preparation,157,130,287,0.547
wifi,272,0,272,1.0
authorization,35,74,109,0.321
treasure,67,5,72,0.931
investigation,199,591,790,0.252
heather,8,251,259,0.031
mcf,10,111,121,0.083
yourseif,105,0,105,1.0
channel,122,124,246,0.496
cut,153,1140,1293,0.118
similar,396,456,852,0.465
moments,62,26,88,0.705
book,471,1345,1816,0.259
wine,78,21,99,0.788
background,106,251,357,0.297
relaxants,63,0,63,1.0
tag,165,120,285,0.579
truth,152,36,188,0.809
nasdaq,68,212,280,0.243
martin,129,756,885,0.146
mont,53,7,60,0.883
cote,52,9,61,0.852
robinson,17,151,168,0.101
examples,337,135,472,0.714
cbs,69,91,160,0.431
specia,74,0,74,1.0
combined,78,390,468,0.167
circuiation,53,0,53,1.0
reiiabie,50,0,50,1.0
adverse,44,99,143,0.308
millennium,129,20,149,0.866
ume,288,0,288,1.0
epe,1,134,135,0.007
equivalents,92,8,100,0.92
stock,3449,4384,7833,0.44
thru,69,273,342,0.202
aug,68,219,287,0.237
baker,36,100,136,0.265
penetration,115,7,122,0.943
barr,34,18,52,0.654
norma,13,175,188,0.069
travelling,22,36,58,0.379
clips,71,11,82,0.866
calling,105,223,328,0.32
louisiana,85,152,237,0.359
seconds,197,25,222,0.887
supplied,26,73,99,0.263
lopez,46,21,67,0.687
inform,725,181,906,0.8
var,34,828,862,0.039
pure,61,74,135,0.452
socal,0,467,467,0.0
securities,3433,1551,4984,0.689
cells,49,15,64,0.766
auditing,34,41,75,0.453
applicant,88,12,100,0.88
war,316,150,466,0.678
sydney,11,159,170,0.065
accelerated,13,41,54,0.241
refinance,255,38,293,0.87
perception,16,47,63,0.254
objective,122,132,254,0.48
england,80,211,291,0.275
explained,34,115,149,0.228
bert,7,62,69,0.101
devoted,46,24,70,0.657
koi,98,0,98,1.0
swnm,80,0,80,1.0
probe,18,198,216,0.083
availabilities,2,69,71,0.028
logistics,31,405,436,0.071
downloadable,55,9,64,0.859
rain,54,16,70,0.771
businesses,441,975,1416,0.311
situation,293,723,1016,0.288
rights,415,1857,2272,0.183
revenue,665,509,1174,0.566
sandi,0,94,94,0.0
drove,38,34,72,0.528
sav,146,0,146,1.0
successfully,131,139,270,0.485
loop,25,103,128,0.195
lowered,17,245,262,0.065
lou,45,102,147,0.306
restrictions,23,91,114,0.202
atlanta,89,108,197,0.452
seeks,48,138,186,0.258
evening,84,396,480,0.175
cancel,103,131,234,0.44
commerce,180,245,425,0.424
href,571,0,571,1.0
flowing,12,123,135,0.089
charts,61,80,141,0.433
lozano,1,49,50,0.02
stsw,0,60,60,0.0
designed,367,199,566,0.648
start,1291,2508,3799,0.34
terri,8,42,50,0.16
ecommerce,8,78,86,0.093
equally,43,53,96,0.448
acquires,62,18,80,0.775
society,86,71,157,0.548
extending,17,74,91,0.187
eddie,18,49,67,0.269
sixth,15,62,77,0.195
legislative,3,89,92,0.033
professors,18,59,77,0.234
birth,41,35,76,0.539
abb,15,107,122,0.123
appreciate,153,709,862,0.177
tisdale,0,75,75,0.0
dynamic,160,100,260,0.615
stomach,73,7,80,0.912
christina,17,87,104,0.163
drawn,324,65,389,0.833
taiwan,38,56,94,0.404
adds,60,196,256,0.234
repeat,44,43,87,0.506
eliminating,18,46,64,0.281
xenical,79,0,79,1.0
warner,13,108,121,0.107
gwyn,3,117,120,0.025
arrangements,50,398,448,0.112
somehow,205,42,247,0.83
discount,515,285,800,0.644
desperate,38,30,68,0.559
exotic,11,77,88,0.125
reduction,148,403,551,0.269
blow,70,80,150,0.467
powerpoint,17,87,104,0.163
adams,83,112,195,0.426
medssno,57,0,57,1.0
ceraweek,0,65,65,0.0
outstanding,415,473,888,0.467
flowed,4,174,178,0.022
meyers,12,320,332,0.036
incredible,175,22,197,0.888
struggling,16,102,118,0.136
trends,68,59,127,0.535
buys,11,133,144,0.076
happy,495,693,1188,0.417
hello,1186,524,1710,0.694
deregulated,1,71,72,0.014
seventh,133,36,169,0.787
boy,223,38,261,0.854
dated,40,129,169,0.237
absent,22,29,51,0.431
joseph,101,303,404,0.25
apwl,57,0,57,1.0
diet,97,5,102,0.951
successfull,113,2,115,0.983
messages,167,941,1108,0.151
promise,243,63,306,0.794
project,861,2886,3747,0.23
sitara,0,965,965,0.0
cloud,37,33,70,0.529
hdpe,60,0,60,1.0
viruses,102,82,184,0.554
jackie,15,432,447,0.034
starts,65,140,205,0.317
cambridge,20,208,228,0.088
promises,18,58,76,0.237
cryogenic,58,1,59,0.983
cos,9,64,73,0.123
bankrupt,21,90,111,0.189
surged,4,50,54,0.074
colspan,107,0,107,1.0
petroleum,286,174,460,0.622
pleased,427,310,737,0.579
mathematics,1,125,126,0.008
mcloughlin,0,98,98,0.0
imports,34,41,75,0.453
finance,501,1527,2028,0.247
solicitation,674,99,773,0.872
earns,56,7,63,0.889
width,598,0,598,1.0
longhorn,68,7,75,0.907
accuracy,484,108,592,0.818
participation,115,490,605,0.19
approved,1028,567,1595,0.645
netting,0,138,138,0.0
interested,1219,1229,2448,0.498
exvg,84,0,84,1.0
health,1033,189,1222,0.845
quantify,13,45,58,0.224
employed,62,65,127,0.488
pge,2,284,286,0.007
eclipse,55,0,55,1.0
housing,79,34,113,0.699
barrel,39,64,103,0.379
instances,25,28,53,0.472
stations,38,90,128,0.297
till,229,111,340,0.674
pilot,48,96,144,0.333
hplno,0,224,224,0.0
piaced,245,0,245,1.0
carnegie,14,102,116,0.121
recourse,4,54,58,0.069
february,149,1132,1281,0.116
puts,43,131,174,0.247
ball,95,85,180,0.528
forest,58,94,152,0.382
simon,20,80,100,0.2
nos,100,20,120,0.833
lawyers,12,201,213,0.056
problems,462,1194,1656,0.279
noting,145,56,201,0.721
patterson,9,103,112,0.08
exists,36,75,111,0.324
reservation,17,159,176,0.097
bottle,126,12,138,0.913
mainline,1,53,54,0.019
roles,9,196,205,0.044
pulp,12,151,163,0.074
counter,60,157,217,0.276
contractor,146,56,202,0.723
beth,11,456,467,0.024
ontario,54,37,91,0.593
treasury,98,255,353,0.278
tab,67,75,142,0.472
bacteria,60,0,60,1.0
rien,315,0,315,1.0
drive,682,333,1015,0.672
rolex,524,0,524,1.0
reaching,21,80,101,0.208
grateful,30,48,78,0.385
huge,821,270,1091,0.753
referenced,232,135,367,0.632
pointed,23,82,105,0.219
dos,102,18,120,0.85
becomes,45,131,176,0.256
intelligence,77,109,186,0.414
ended,47,213,260,0.181
nicolay,0,50,50,0.0
figure,105,216,321,0.327
court,117,562,679,0.172
meredith,9,96,105,0.086
nobody,186,80,266,0.699
wlndows,77,0,77,1.0
patek,69,0,69,1.0
prevented,4,62,66,0.061
login,89,86,175,0.509
recibir,65,0,65,1.0
music,538,64,602,0.894
destination,45,27,72,0.625
rita,12,291,303,0.04
modem,104,32,136,0.765
anne,46,324,370,0.124
sender,234,358,592,0.395
secret,368,31,399,0.922
assessment,17,214,231,0.074
series,122,473,595,0.205
tani,0,89,89,0.0
template,15,113,128,0.117
banc,3,47,50,0.06
pharm,55,0,55,1.0
burlington,13,92,105,0.124
returns,212,159,371,0.571
english,110,631,741,0.148
ultra,59,5,64,0.922
exceed,66,113,179,0.369
lead,214,729,943,0.227
inventory,73,153,226,0.323
differ,1108,32,1140,0.972
ivoire,59,0,59,1.0
smallest,82,12,94,0.872
cotten,0,322,322,0.0
industrial,142,807,949,0.15
notified,54,173,227,0.238
ljm,0,530,530,0.0
producer,67,334,401,0.167
advisor,587,91,678,0.866
pros,13,43,56,0.232
form,1332,1064,2396,0.556
reputable,81,0,81,1.0
branded,77,10,87,0.885
thuraisingham,0,142,142,0.0
festival,31,41,72,0.431
physics,31,48,79,0.392
dip,21,35,56,0.375
steffes,0,217,217,0.0
sarah,45,192,237,0.19
cornfield,9,62,71,0.127
acni,85,0,85,1.0
roundtable,2,73,75,0.027
wallet,141,13,154,0.916
expo,27,26,53,0.509
seize,39,21,60,0.65
vasant,0,448,448,0.0
validate,20,37,57,0.351
nguyen,9,123,132,0.068
nuke,81,0,81,1.0
enhanced,241,63,304,0.793
refuse,41,31,72,0.569
purchased,105,284,389,0.27
mild,29,22,51,0.569
tibco,0,52,52,0.0
materials,253,185,438,0.578
pounds,210,119,329,0.638
geman,0,54,54,0.0
female,143,29,172,0.831
classes,32,142,174,0.184
subscription,218,153,371,0.588
cubic,289,70,359,0.805
purchases,62,304,366,0.169
grid,35,287,322,0.109
bar,111,83,194,0.572
tft,78,1,79,0.987
export,298,87,385,0.774
gate,20,37,57,0.351
county,95,169,264,0.36
grave,40,10,50,0.8
pharmaceuticals,69,17,86,0.802
confidence,330,799,1129,0.292
ein,54,13,67,0.806
gbp,6,49,55,0.109
often,219,232,451,0.486
younger,98,15,113,0.867
jaesoo,0,65,65,0.0
carson,15,113,128,0.117
tess,7,160,167,0.042
busy,102,196,298,0.342
steven,33,565,598,0.055
gathering,53,295,348,0.152
easter,21,46,67,0.313
congratulate,48,28,76,0.632
wondered,36,48,84,0.429
attaching,0,116,116,0.0
quarter,346,1936,2282,0.152
entities,92,376,468,0.197
blackstone,5,78,83,0.06
clal,77,0,77,1.0
urgent,484,182,666,0.727
finds,60,76,136,0.441
uncertainties,1036,77,1113,0.931
thinkgeek,153,0,153,1.0
insufficient,21,34,55,0.382
knowledge,221,376,597,0.37
fiiings,177,0,177,1.0
gratis,104,8,112,0.929
restaurant,82,70,152,0.539
optout,100,0,100,1.0
images,180,24,204,0.882
describes,12,45,57,0.211
rnd,204,0,204,1.0
significance,26,29,55,0.473
republican,6,110,116,0.052
amendment,4,184,188,0.021
combines,35,17,52,0.673
prayer,22,38,60,0.367
ect,15,35331,35346,0.0
otherwise,239,418,657,0.364
trades,39,646,685,0.057
prom,118,6,124,0.952
wearing,49,8,57,0.86
joint,313,216,529,0.592
liquidity,3,548,551,0.005
therefore,589,624,1213,0.486
various,431,576,1007,0.428
locate,177,179,356,0.497
visibie,60,0,60,1.0
informaci,82,0,82,1.0
trip,91,429,520,0.175
remarkable,33,20,53,0.623
worldwide,995,221,1216,0.818
calc,1,80,81,0.012
product,2143,913,3056,0.701
qualify,262,49,311,0.842
excess,162,270,432,0.375
weapons,57,5,62,0.919
thin,53,29,82,0.646
alot,27,27,54,0.5
mitigation,0,113,113,0.0
fix,69,145,214,0.322
pain,677,41,718,0.943
cook,37,194,231,0.16
young,313,375,688,0.455
asset,121,922,1043,0.116
mary,96,1254,1350,0.071
distributors,89,16,105,0.848
declining,4,79,83,0.048
capita,90,2,92,0.978
inc,3507,3890,7397,0.474
cpa,20,39,59,0.339
seiected,93,0,93,1.0
rewriter,91,0,91,1.0
criminal,50,35,85,0.588
kay,20,136,156,0.128
tracked,8,86,94,0.085
jokes,105,6,111,0.946
onshore,49,22,71,0.69
man,1090,183,1273,0.856
lay,102,1886,1988,0.051
bomb,41,21,62,0.661
size,1400,366,1766,0.793
occurs,48,59,107,0.449
bringing,90,150,240,0.375
india,158,924,1082,0.146
overall,116,450,566,0.205
confiict,155,0,155,1.0
nowadays,96,7,103,0.932
ant,113,0,113,1.0
quilkey,0,66,66,0.0
southwestern,53,15,68,0.779
amoco,6,72,78,0.077
drag,15,41,56,0.268
launched,79,147,226,0.35
contacts,314,205,519,0.605
display,85,67,152,0.559
myers,15,68,83,0.181
wel,437,0,437,1.0
mellon,13,103,116,0.112
comply,28,55,83,0.337
headline,22,30,52,0.423
cat,100,15,115,0.87
pearce,13,61,74,0.176
newsroom,0,69,69,0.0
nyse,72,277,349,0.206
mcmichael,0,60,60,0.0
concluded,100,43,143,0.699
operator,57,184,241,0.237
martinj,0,89,89,0.0
rolexes,55,0,55,1.0
ine,240,0,240,1.0
accomplishments,17,141,158,0.108
sma,78,2,80,0.975
beautiful,165,28,193,0.855
resulting,357,130,487,0.733
gina,38,54,92,0.413
statistics,41,105,146,0.281
editorial,21,33,54,0.389
carole,3,50,53,0.057
viacom,30,29,59,0.508
roy,35,47,82,0.427
largest,302,981,1283,0.235
pinnacle,263,17,280,0.939
paths,13,89,102,0.127
dealbench,0,65,65,0.0
lumber,5,53,58,0.086
concur,7,71,78,0.09
corporation,895,524,1419,0.631
worthy,49,16,65,0.754
mann,12,40,52,0.231
tons,117,47,164,0.713
media,879,205,1084,0.811
described,90,224,314,0.287
insurancemail,68,0,68,1.0
drift,9,74,83,0.108
conservative,61,80,141,0.433
jolly,6,48,54,0.111
silence,35,25,60,0.583
jim,42,1037,1079,0.039
rotating,51,23,74,0.689
catalogue,71,6,77,0.922
interface,166,129,295,0.563
replacing,7,52,59,0.119
package,406,407,813,0.499
revise,45,82,127,0.354
selecting,37,57,94,0.394
course,464,933,1397,0.332
monetary,42,35,77,0.545
julio,63,0,63,1.0
select,330,339,669,0.493
attendees,12,155,167,0.072
hard,715,698,1413,0.506
reqards,108,0,108,1.0
crow,21,48,69,0.304
afloat,28,27,55,0.509
know,2394,7043,9437,0.254
liberal,23,31,54,0.426
downioad,53,0,53,1.0
utilities,50,1141,1191,0.042
momentum,121,49,170,0.712
reserve,102,413,515,0.198
baal,0,56,56,0.0
maintainer,68,0,68,1.0
contingent,13,80,93,0.14
hitch,57,15,72,0.792
founder,49,32,81,0.605
megawatts,2,88,90,0.022
bypass,21,32,53,0.396
barrels,161,75,236,0.682
enrollment,15,69,84,0.179
states,1447,666,2113,0.685
say,876,1190,2066,0.424
consequences,21,59,80,0.263
living,225,117,342,0.658
quality,1494,404,1898,0.787
listmaster,68,0,68,1.0
premiums,47,63,110,0.427
unregulated,0,52,52,0.0
count,147,286,433,0.339
chance,475,437,912,0.521
hits,50,75,125,0.4
properly,60,161,221,0.271
skilling,0,892,892,0.0
bambos,0,83,83,0.0
aqu,95,0,95,1.0
convergence,40,23,63,0.635
leading,502,459,961,0.522
jeffrey,20,642,662,0.03
collaboration,110,43,153,0.719
violations,11,77,88,0.125
relation,95,35,130,0.731
dosage,83,2,85,0.976
preservation,43,9,52,0.827
diversified,226,37,263,0.859
stands,83,73,156,0.532
autodesk,143,0,143,1.0
proceedings,20,76,96,0.208
upgrade,81,133,214,0.379
consult,85,23,108,0.787
resistance,34,35,69,0.493
presenting,46,53,99,0.465
keeping,173,206,379,0.456
protest,12,52,64,0.188
search,1228,154,1382,0.889
todos,101,0,101,1.0
competing,43,43,86,0.5
mhi,0,87,87,0.0
brain,62,18,80,0.775
draws,242,42,284,0.852
sousa,20,38,58,0.345
rumors,5,77,82,0.061
please,7325,13032,20357,0.36
fertility,78,0,78,1.0
hgh,95,0,95,1.0
yap,389,0,389,1.0
chronic,68,5,73,0.932
panenergy,0,68,68,0.0
hoping,47,139,186,0.253
excel,73,211,284,0.257
bull,78,26,104,0.75
talks,24,508,532,0.045
prozac,174,1,175,0.994
covers,38,112,150,0.253
hang,77,49,126,0.611
convenient,213,125,338,0.63
outline,3,151,154,0.019
adjusted,3,120,123,0.024
produced,315,155,470,0.67
retails,54,0,54,1.0
ticker,69,37,106,0.651
unless,176,326,502,0.351
italian,78,27,105,0.743
retain,44,170,214,0.206
organizational,1,218,219,0.005
reiiance,88,0,88,1.0
risen,18,44,62,0.29
hereby,39,41,80,0.487
schumack,0,135,135,0.0
menu,21,82,103,0.204
key,542,852,1394,0.389
effectively,96,206,302,0.318
responsibility,108,537,645,0.167
zufferli,0,86,86,0.0
coupon,439,90,529,0.83
lease,107,163,270,0.396
packaging,179,5,184,0.973
whilst,21,32,53,0.396
electronics,63,25,88,0.716
avai,82,0,82,1.0
buying,191,536,727,0.263
funded,21,48,69,0.304
author,91,105,196,0.464
finger,36,18,54,0.667
tend,19,61,80,0.237
earlier,89,1035,1124,0.079
depend,87,61,148,0.588
improvements,55,60,115,0.478
currency,108,128,236,0.458
problem,493,1075,1568,0.314
falls,64,144,208,0.308
vast,75,57,132,0.568
lately,73,38,111,0.658
papers,109,169,278,0.392
extender,158,0,158,1.0
took,277,649,926,0.299
subsequent,77,83,160,0.481
anonymous,50,31,81,0.617
announces,329,104,433,0.76
preparing,18,166,184,0.098
cordially,11,43,54,0.204
offshore,148,80,228,0.649
transactions,260,1841,2101,0.124
ppin,317,0,317,1.0
china,917,98,1015,0.903
plants,88,635,723,0.122
markets,451,2824,3275,0.138
turmoil,14,63,77,0.182
mahoney,2,61,63,0.032
implement,21,147,168,0.125
field,244,660,904,0.27
charges,146,700,846,0.173
urgently,111,21,132,0.841
companys,86,2,88,0.977
derivatives,8,831,839,0.01
reieases,98,0,98,1.0
keys,27,26,53,0.509
memo,3,412,415,0.007
decrease,44,78,122,0.361
ena,0,2342,2342,0.0
hydroelectric,7,57,64,0.109
early,252,1123,1375,0.183
developed,281,345,626,0.449
continues,135,318,453,0.298
love,845,223,1068,0.791
capacity,95,1871,1966,0.048
extract,58,34,92,0.63
title,424,355,779,0.544
achieving,55,31,86,0.64
climate,23,59,82,0.28
sherriff,0,203,203,0.0
font,1349,38,1387,0.973
braband,0,55,55,0.0
heard,246,415,661,0.372
boost,411,132,543,0.757
airports,43,8,51,0.843
elizabeth,27,328,355,0.076
sup,49,2,51,0.961
discover,170,21,191,0.89
less,986,1195,2181,0.452
specially,240,5,245,0.98
finest,94,5,99,0.949
south,789,494,1283,0.615
nascar,51,3,54,0.944
guest,33,141,174,0.19
juno,8,48,56,0.143
protected,87,73,160,0.544
necessity,35,23,58,0.603
correct,126,577,703,0.179
delayed,7,148,155,0.045
leadership,40,396,436,0.092
reliant,7,310,317,0.022
wayne,26,100,126,0.206
investigating,5,124,129,0.039
baylor,13,363,376,0.035
ppa,1,276,277,0.004
peaking,1,51,52,0.019
stein,8,59,67,0.119
dpr,2,283,285,0.007
materiaily,102,0,102,1.0
spyware,117,1,118,0.992
foreigner,304,0,304,1.0
satisfactory,40,71,111,0.36
departure,14,224,238,0.059
concerning,116,223,339,0.342
owner,268,213,481,0.557
contacting,202,140,342,0.591
sorts,20,30,50,0.4
lenos,0,63,63,0.0
rejected,36,73,109,0.33
ltd,400,495,895,0.447
graves,10,274,284,0.035
provided,1601,793,2394,0.669
hook,58,62,120,0.483
gov,115,195,310,0.371
orig,0,92,92,0.0
financial,1333,4821,6154,0.217
letsyou,69,0,69,1.0
valuable,258,205,463,0.557
pace,37,81,118,0.314
sherlyn,0,174,174,0.0
apparent,17,95,112,0.152
promotional,645,15,660,0.977
larger,118,213,331,0.356
provides,427,390,817,0.523
governance,9,94,103,0.087
wallace,11,42,53,0.208
balanced,14,78,92,0.152
molly,14,349,363,0.039
applied,75,235,310,0.242
person,715,1001,1716,0.417
archer,13,59,72,0.181
clauses,0,52,52,0.0
cmu,0,74,74,0.0
cancelled,19,77,96,0.198
wpt,54,0,54,1.0
picking,18,54,72,0.25
advantages,93,25,118,0.788
branding,43,15,58,0.741
overhead,22,50,72,0.306
ecom,1,81,82,0.012
bid,39,822,861,0.045
postage,49,3,52,0.942
mens,132,3,135,0.978
transfer,1210,411,1621,0.746
brand,898,91,989,0.908
antidote,96,1,97,0.99
ferc,0,1376,1376,0.0
attendance,26,111,137,0.19
biotech,85,6,91,0.934
office,1826,2720,4546,0.402
enhancement,166,32,198,0.838
assisting,84,34,118,0.712
bryson,1,56,57,0.018
choice,476,259,735,0.648
harrison,32,94,126,0.254
fifteen,178,11,189,0.942
unclear,2,96,98,0.02
guess,63,206,269,0.234
ensuring,68,82,150,0.453
suspended,67,88,155,0.432
gaming,210,14,224,0.938
capital,516,1477,1993,0.259
valuations,4,75,79,0.051
israeli,88,16,104,0.846
sending,411,450,861,0.477
bandwidth,21,331,352,0.06
appointment,119,102,221,0.538
half,549,496,1045,0.525
winner,311,52,363,0.857
organization,296,580,876,0.338
reading,191,132,323,0.591
parking,12,133,145,0.083
payout,109,40,149,0.732
hat,175,22,197,0.888
mcnulty,2,49,51,0.039
toshiba,250,14,264,0.947
downturn,7,62,69,0.101
suspension,95,56,151,0.629
honor,81,71,152,0.533
hodge,8,48,56,0.143
deffner,0,142,142,0.0
viability,5,47,52,0.096
technically,10,43,53,0.189
seeking,214,344,558,0.384
attorney,303,198,501,0.605
breakdown,27,69,96,0.281
hannon,0,51,51,0.0
brec,200,0,200,1.0
tips,102,31,133,0.767
benson,28,26,54,0.519
nation,133,314,447,0.298
modeling,22,286,308,0.071
ordinator,43,19,62,0.694
citizen,61,6,67,0.91
intelligent,67,49,116,0.578
consortium,41,51,92,0.446
use,3081,2450,5531,0.557
arranging,3,52,55,0.055
buck,37,22,59,0.627
aids,97,10,107,0.907
mtg,13,103,116,0.112
wanda,0,97,97,0.0
success,888,516,1404,0.632
steel,111,172,283,0.392
repeatedly,5,46,51,0.098
raymond,35,375,410,0.085
reminder,72,263,335,0.215
mutually,11,51,62,0.177
immigration,17,33,50,0.34
maps,5,49,54,0.093
compartment,91,0,91,1.0
spark,33,51,84,0.393
optical,41,43,84,0.488
republic,186,38,224,0.83
essential,123,105,228,0.539
integrated,156,138,294,0.531
storm,21,64,85,0.247
criteria,57,110,167,0.341
samuel,45,39,84,0.536
van,302,132,434,0.696
vkamins,0,301,301,0.0
acts,343,54,397,0.864
tip,134,31,165,0.812
dirty,46,7,53,0.868
planned,89,388,477,0.187
worth,597,465,1062,0.562
deborah,19,48,67,0.284
nowlan,0,64,64,0.0
wondering,23,138,161,0.143
undervalued,288,11,299,0.963
distributor,87,18,105,0.829
representatives,58,215,273,0.212
brochures,80,10,90,0.889
acheive,96,2,98,0.98
rachel,21,56,77,0.273
mandatory,34,61,95,0.358
backing,15,59,74,0.203
lannou,0,223,223,0.0
counsel,16,267,283,0.057
fawcett,0,89,89,0.0
least,430,831,1261,0.341
wary,14,50,64,0.219
genuine,190,7,197,0.964
intrastate,0,99,99,0.0
promoted,97,96,193,0.503
distinct,31,21,52,0.596
clearance,266,22,288,0.924
tennessee,17,61,78,0.218
professional,2420,209,2629,0.921
renewal,20,68,88,0.227
src,304,0,304,1.0
implied,56,96,152,0.368
coordinating,2,75,77,0.026
remedies,70,29,99,0.707
highlighted,13,74,87,0.149
structure,135,602,737,0.183
relief,349,143,492,0.709
terminating,2,50,52,0.038
professiona,139,0,139,1.0
province,94,18,112,0.839
weightloss,75,0,75,1.0
majority,174,160,334,0.521
define,18,133,151,0.119
pass,189,415,604,0.313
unlimited,385,29,414,0.93
differentials,0,87,87,0.0
wireless,370,170,540,0.685
agra,136,3,139,0.978
woods,17,39,56,0.304
published,211,212,423,0.499
corner,78,88,166,0.47
affiliates,101,226,327,0.309
presented,142,219,361,0.393
limited,1356,1196,2552,0.531
hire,17,186,203,0.084
collapse,11,326,337,0.033
enterprise,302,158,460,0.657
lucent,2,77,79,0.025
division,140,280,420,0.333
buy,1622,1742,3364,0.482
shelly,0,138,138,0.0
point,582,1706,2288,0.254
conoco,8,133,141,0.057
mgmt,0,161,161,0.0
allows,207,225,432,0.479
lights,35,40,75,0.467
query,20,54,74,0.27
economic,214,533,747,0.286
host,220,168,388,0.567
applying,20,84,104,0.192
identify,266,320,586,0.454
equals,10,52,62,0.161
breaking,426,73,499,0.854
eim,19,222,241,0.079
indicated,122,385,507,0.241
football,73,62,135,0.541
factua,95,0,95,1.0
lan,74,20,94,0.787
chain,86,76,162,0.531
uncertainty,8,245,253,0.032
tommy,13,115,128,0.102
minute,339,160,499,0.679
step,405,435,840,0.482
vuitton,66,0,66,1.0
titles,469,39,508,0.923
rig,82,27,109,0.752
finding,147,181,328,0.448
frazier,8,86,94,0.085
cartwheel,10,46,56,0.179
completeness,285,14,299,0.953
consumers,214,275,489,0.438
stuart,7,208,215,0.033
americans,109,69,178,0.612
dynegydirect,0,53,53,0.0
managers,76,360,436,0.174
dispute,49,184,233,0.21
lisa,25,733,758,0.033
page,573,832,1405,0.408
absorbed,44,11,55,0.8
opens,16,53,69,0.232
tracy,16,120,136,0.118
kong,153,103,256,0.598
ease,121,66,187,0.647
reflecting,2,83,85,0.024
sofftwaares,158,0,158,1.0
shipman,2,52,54,0.037
beach,199,75,274,0.726
luck,192,110,302,0.636
tiny,75,8,83,0.904
conference,158,2360,2518,0.063
analysis,200,1088,1288,0.155
eventually,45,111,156,0.288
yeah,18,33,51,0.353
jaime,9,101,110,0.082
explicit,45,31,76,0.592
allowed,129,281,410,0.315
contest,36,45,81,0.444
bet,53,114,167,0.317
premium,333,246,579,0.575
victor,25,175,200,0.125
healthy,123,40,163,0.755
areas,235,493,728,0.323
estate,300,277,577,0.52
vger,148,0,148,1.0
sierra,174,45,219,0.795
gas,2628,9277,11905,0.221
foreign,869,261,1130,0.769
frustration,37,37,74,0.5
longines,58,0,58,1.0
inventories,8,89,97,0.082
unaccounted,0,70,70,0.0
rated,65,178,243,0.267
verdana,66,0,66,1.0
distinctive,88,6,94,0.936
due,1870,1992,3862,0.484
info,2134,685,2819,0.757
partnerships,40,1747,1787,0.022
personal,863,470,1333,0.647
queries,9,49,58,0.155
welcome,464,333,797,0.582
transformation,12,45,57,0.211
timeline,0,186,186,0.0
todd,10,321,331,0.03
suzanne,12,135,147,0.082
global,517,2001,2518,0.205
ken,17,772,789,0.022
feedback,71,1127,1198,0.059
incumbent,32,23,55,0.582
relatives,185,4,189,0.979
hills,37,43,80,0.463
require,381,581,962,0.396
net,3094,1571,4665,0.663
est,549,250,799,0.687
prompting,21,32,53,0.396
throw,52,32,84,0.619
analyze,54,57,111,0.486
cameras,117,5,122,0.959
blocks,43,60,103,0.417
nights,35,71,106,0.33
later,606,906,1512,0.401
made,2657,2003,4660,0.57
makers,70,107,177,0.395
chapter,25,424,449,0.056
wishing,12,41,53,0.226
cli,107,0,107,1.0
worst,51,144,195,0.262
well,1640,3070,4710,0.348
lowering,19,46,65,0.292
coach,44,32,76,0.579
panel,164,303,467,0.351
para,732,11,743,0.985
related,429,1544,1973,0.217
